 ,Label,Area,Mean,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,457541.jpg,286,73.367,67.941,64,2,21,20,0.779,24.839,69,3,130.101,18.657,1.259,0.794,0.914
2,457541.jpg,212,70.354,64.426,92,5,19,22,0.642,27.659,93,5,130.601,11.907,2.308,0.433,0.865
3,457541.jpg,233,67.751,79.012,147,5,17,29,0.469,33.121,148,5,118.887,13.454,2.226,0.449,0.808
4,457541.jpg,287,77.359,63.355,35,18,20,19,0.899,21.954,35,34,30.069,19.000,1.078,0.928,0.938
5,457541.jpg,289,77.633,75.598,120,23,28,18,0.635,30.887,120,23,150.945,12.977,2.433,0.411,0.880
6,457541.jpg,235,99.353,55.941,13,31,16,19,0.944,20.248,18,50,69.775,16.000,1.234,0.810,0.942
7,457541.jpg,390,78.338,107.196,30,31,35,35,0.426,48.104,30,64,43.315,12.121,4.166,0.240,0.845
8,457541.jpg,345,90.612,83.598,207,33,26,23,0.620,30.414,212,34,133.668,20.996,1.427,0.701,0.819
9,457541.jpg,341,80.147,81.740,60,43,27,23,0.641,30.480,60,65,41.009,16.641,1.907,0.524,0.846
10,457541.jpg,255,76.043,73.113,123,47,29,14,0.599,29.614,123,61,11.689,12.765,2.325,0.430,0.873
11,457541.jpg,280,75.946,73.841,90,52,25,21,0.645,28.302,91,71,32.005,13.864,2.304,0.434,0.838
12,457541.jpg,223,83.484,55.598,68,64,17,18,0.907,19.723,72,65,120.466,15.556,1.273,0.785,0.927
13,457541.jpg,294,75.626,66.669,184,73,22,21,0.831,22.561,184,83,167.196,18.860,1.149,0.871,0.920
14,457541.jpg,266,80.985,63.456,93,76,21,16,0.830,23.707,93,90,27.646,15.532,1.465,0.683,0.922
15,457541.jpg,201,62.507,68.770,225,88,24,17,0.534,25.807,226,90,144.462,13.245,2.312,0.433,0.753
16,457541.jpg,228,72.776,72.284,75,89,11,31,0.548,31.257,78,89,97.352,10.915,2.973,0.336,0.872
17,457541.jpg,253,80.063,75.255,207,89,16,30,0.561,32.696,210,89,113.429,12.254,3.081,0.325,0.855
18,457541.jpg,284,77.021,67.941,93,95,16,25,0.773,25.080,99,95,94.574,14.751,1.752,0.571,0.918
19,457541.jpg,292,71.493,67.598,187,119,24,18,0.803,25.000,187,134,16.260,16.855,1.438,0.696,0.918
20,457541.jpg,295,72.603,65.598,220,122,19,22,0.861,24.166,225,144,65.556,17.678,1.312,0.762,0.932
21,457541.jpg,319,71.398,82.426,64,124,18,30,0.590,31.780,65,125,114.146,16.916,2.131,0.469,0.853
22,457541.jpg,276,69.199,87.355,85,132,15,33,0.455,33.377,93,132,98.616,14.532,2.586,0.387,0.742
23,457541.jpg,221,63.919,57.941,199,141,19,17,0.827,20.248,199,153,20.225,17.000,1.112,0.899,0.889
24,457541.jpg,267,73.491,87.397,143,148,28,28,0.439,39.598,143,148,135.000,13.275,3.391,0.295,0.786
25,457541.jpg,219,72.365,59.355,220,151,14,22,0.781,23.259,223,173,64.537,13.370,1.771,0.565,0.920
26,457541.jpg,260,76.196,64.770,236,156,18,22,0.779,25.807,237,177,54.462,14.600,1.843,0.542,0.920
27,457541.jpg,242,78.744,62.527,104,162,22,16,0.778,25.239,105,177,33.690,14.758,1.741,0.574,0.936
28,457541.jpg,260,86.500,63.355,5,169,24,15,0.814,25.298,5,182,18.435,15.000,1.571,0.636,0.922
