 ,Label,Area,Mean,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,457541.jpg,233,20.884,130.125,22,4,30,17,0.173,34.000,22,21,28.072,14.905,2.297,0.435,0.656
2,457541.jpg,323,31.672,73.497,127,6,23,23,0.751,28.425,128,6,129.289,16.263,1.883,0.531,0.898
3,457541.jpg,302,24.894,82.912,69,9,24,21,0.552,26.420,69,27,29.476,20.788,1.187,0.843,0.766
4,457541.jpg,169,40.462,51.456,46,14,19,12,0.802,19.925,46,22,17.526,11.770,1.809,0.553,0.909
5,457541.jpg,126,23.087,64.426,203,15,16,17,0.381,21.932,203,15,133.152,12.043,2.173,0.460,0.643
6,457541.jpg,504,31.048,95.740,171,17,24,33,0.691,35.511,172,47,57.653,21.419,1.677,0.596,0.883
7,457541.jpg,487,23.304,159.581,389,19,25,43,0.240,43.738,396,19,100.539,22.610,2.315,0.432,0.620
8,457541.jpg,323,22.455,154.610,286,20,15,48,0.170,48.662,291,20,99.462,13.134,4.795,0.209,0.629
9,457541.jpg,280,24.293,103.640,423,21,28,27,0.328,36.797,425,48,47.203,17.628,2.599,0.385,0.568
10,457541.jpg,180,25.578,70.569,466,24,24,23,0.454,32.558,466,47,42.510,9.192,4.690,0.213,0.774
11,457541.jpg,115,22.478,54.870,409,25,10,22,0.480,22.561,409,25,102.804,10.000,2.319,0.431,0.804
12,457541.jpg,813,24.399,174.309,429,34,33,54,0.336,61.774,430,88,60.945,23.462,3.130,0.319,0.795
13,457541.jpg,423,22.215,99.640,242,38,26,27,0.535,33.422,245,65,51.072,21.920,1.418,0.705,0.799
14,457541.jpg,1496,27.140,270.049,82,40,71,35,0.258,71.344,82,57,174.369,34.398,2.540,0.394,0.730
15,457541.jpg,613,35.677,98.569,180,45,32,29,0.793,38.833,180,73,34.509,22.552,1.701,0.588,0.935
16,457541.jpg,289,27.076,111.539,454,45,31,39,0.292,46.325,457,84,57.339,11.606,6.107,0.164,0.630
17,457541.jpg,731,28.739,125.539,23,49,39,26,0.583,40.162,24,56,161.114,26.000,1.460,0.685,0.892
18,457541.jpg,1021,25.636,215.321,350,52,35,53,0.277,57.385,351,105,67.457,35.000,1.803,0.555,0.716
19,457541.jpg,545,28.103,95.497,323,58,22,36,0.751,36.401,333,94,74.055,19.892,1.864,0.537,0.924
20,457541.jpg,687,29.013,102.569,261,68,25,38,0.821,38.328,271,68,97.496,24.324,1.634,0.612,0.932
21,457541.jpg,619,28.237,103.598,212,72,39,20,0.725,40.262,212,78,165.619,18.851,2.237,0.447,0.924
22,457541.jpg,477,29.124,86.326,381,77,25,27,0.804,28.018,383,100,34.824,23.717,1.189,0.841,0.916
23,457541.jpg,605,38.017,93.983,67,86,29,29,0.861,33.971,71,88,132.614,24.042,1.375,0.727,0.939
24,457541.jpg,802,30.238,116.125,113,92,35,38,0.747,46.400,116,92,127.117,23.856,2.023,0.494,0.937
25,457541.jpg,714,41.111,105.397,156,92,34,28,0.808,36.235,161,95,140.599,28.000,1.261,0.793,0.938
26,457541.jpg,595,29.765,109.640,196,97,27,30,0.622,32.650,200,100,130.030,26.471,1.190,0.840,0.881
27,457541.jpg,684,26.684,138.368,44,103,26,55,0.449,56.754,48,158,75.719,20.489,2.833,0.353,0.800
