 ,Label,Area,Mean,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
28,457541.jpg,584,26.791,98.811,233,103,33,26,0.752,33.242,233,119,173.089,25.709,1.220,0.820,0.895
29,457541.jpg,504,28.982,126.811,490,103,21,41,0.394,41.231,500,143,75.964,21.000,1.934,0.517,0.749
30,457541.jpg,1357,28.917,176.409,304,106,41,52,0.548,54.203,312,107,119.876,35.275,1.714,0.583,0.862
31,457541.jpg,433,42.048,81.255,366,114,20,30,0.824,30.594,371,114,101.310,20.000,1.415,0.707,0.921
32,457541.jpg,814,28.230,120.811,276,115,37,33,0.701,38.601,276,134,163.443,32.103,1.057,0.946,0.895
33,457541.jpg,466,30.918,88.326,390,120,21,33,0.751,34.540,395,153,67.891,18.341,1.997,0.501,0.916
34,457541.jpg,728,26.639,129.539,435,125,34,43,0.545,52.431,439,125,124.902,20.572,2.758,0.363,0.872
35,457541.jpg,982,28.491,134.953,71,127,33,50,0.678,55.902,76,177,63.435,23.641,2.404,0.416,0.937
36,457541.jpg,865,32.822,119.397,169,127,44,27,0.762,44.283,169,138,6.483,27.000,1.526,0.655,0.943
37,457541.jpg,906,24.453,116.125,108,136,38,35,0.844,40.497,108,161,20.225,33.234,1.170,0.855,0.923
38,457541.jpg,1211,28.739,202.894,206,139,47,54,0.370,61.855,213,191,55.539,29.954,2.412,0.415,0.781
39,457541.jpg,470,32.915,98.811,261,146,33,29,0.605,36.125,264,173,48.366,19.925,2.129,0.470,0.813
40,457541.jpg,1511,29.828,212.894,325,153,53,53,0.419,58.181,325,175,155.638,49.263,1.357,0.737,0.792
41,457541.jpg,713,30.208,117.154,402,155,24,46,0.653,49.041,403,201,69.717,21.187,2.384,0.420,0.924
42,457541.jpg,484,29.444,118.953,378,163,23,34,0.430,34.928,390,197,76.759,22.786,1.700,0.588,0.801
43,457541.jpg,666,28.587,96.569,16,172,31,29,0.897,33.615,16,196,22.751,27.487,1.186,0.843,0.951
44,457541.jpg,602,24.153,95.154,431,178,26,32,0.836,32.249,442,178,97.125,25.691,1.275,0.785,0.931
45,457541.jpg,879,31.358,120.125,148,181,34,41,0.765,46.098,149,218,49.399,26.849,1.830,0.547,0.929
46,457541.jpg,1001,27.892,174.752,84,182,52,50,0.412,68.622,84,231,43.229,22.699,3.783,0.264,0.769
47,457541.jpg,714,26.464,106.083,255,186,34,29,0.797,39.051,258,214,39.806,26.311,1.520,0.658,0.928
48,457541.jpg,803,25.721,128.267,62,189,38,43,0.613,50.000,68,230,53.130,22.425,2.299,0.435,0.882
49,457541.jpg,336,32.589,72.426,232,189,22,23,0.805,27.203,234,211,53.973,17.902,1.539,0.650,0.906
50,457541.jpg,1252,29.669,209.480,290,189,38,54,0.359,59.034,299,189,116.131,36.941,1.889,0.529,0.790
51,457541.jpg,1787,27.644,235.664,153,196,69,67,0.404,87.046,153,258,42.672,36.992,3.053,0.328,0.737
52,457541.jpg,460,26.300,110.569,459,198,23,32,0.473,34.540,465,198,112.109,22.552,1.858,0.538,0.810
53,457541.jpg,707,27.990,117.539,113,207,31,33,0.643,37.643,113,235,39.611,26.903,1.368,0.731,0.914
54,457541.jpg,106,24.340,51.799,503,209,8,21,0.496,21.378,506,209,100.784,7.861,2.810,0.356,0.838
55,457541.jpg,714,30.573,111.539,346,214,38,32,0.721,45.000,347,216,143.130,21.864,2.168,0.461,0.920
56,457541.jpg,429,28.350,104.711,434,219,28,25,0.492,28.425,437,242,39.289,22.594,1.202,0.832,0.827
57,457541.jpg,437,30.652,87.740,244,223,31,23,0.713,34.015,244,242,24.305,18.869,1.990,0.502,0.888
58,457541.jpg,600,28.720,99.841,201,225,30,27,0.756,35.228,202,248,34.592,26.234,1.341,0.746,0.915
59,457541.jpg,573,31.560,97.154,19,227,32,26,0.763,33.615,20,238,157.249,24.979,1.298,0.770,0.912
60,457541.jpg,681,29.656,117.539,404,229,28,40,0.619,42.059,413,229,108.004,24.140,1.923,0.520,0.858
61,457541.jpg,1273,26.016,221.380,74,245,55,52,0.326,61.847,75,258,140.906,36.567,1.892,0.529,0.703
62,457541.jpg,389,23.756,99.640,442,249,29,22,0.492,29.614,442,257,168.311,21.266,1.485,0.673,0.795
63,457541.jpg,468,34.637,82.912,14,255,30,22,0.856,30.676,15,272,19.026,21.466,1.460,0.685,0.935
64,457541.jpg,1119,27.525,137.095,303,256,47,39,0.748,51.478,303,286,29.055,29.122,1.824,0.548,0.932
65,457541.jpg,1315,25.925,197.622,131,265,60,42,0.423,66.851,134,305,34.641,31.337,2.567,0.390,0.787
66,457541.jpg,168,23.089,67.012,398,266,13,21,0.470,21.587,401,287,76.608,12.965,1.689,0.592,0.808
67,457541.jpg,127,22.882,61.012,382,268,18,18,0.429,24.759,383,268,133.363,10.200,2.889,0.346,0.736
68,457541.jpg,1085,30.211,157.924,225,273,31,56,0.547,56.886,241,273,100.125,27.755,2.098,0.477,0.895
69,457541.jpg,156,29.314,68.426,491,277,19,18,0.419,24.083,492,293,41.634,14.311,1.916,0.522,0.649
70,457541.jpg,183,22.235,73.740,454,281,17,22,0.423,22.361,462,303,79.695,16.263,1.259,0.795,0.759
71,457541.jpg,1486,28.837,202.108,195,285,40,69,0.457,71.169,206,285,107.162,31.647,2.730,0.366,0.832
72,457541.jpg,473,22.670,105.397,59,289,33,22,0.535,34.205,59,301,164.745,22.000,1.483,0.674,0.823
73,457541.jpg,406,23.736,111.882,94,290,22,29,0.408,31.906,97,292,122.196,20.751,1.569,0.637,0.821
74,457541.jpg,132,27.985,47.941,446,290,15,16,0.722,17.493,452,290,120.964,10.661,1.700,0.588,0.854
75,457541.jpg,1240,33.245,139.196,359,296,42,43,0.804,44.944,371,298,122.276,39.273,1.113,0.899,0.942
76,457541.jpg,364,24.659,93.983,266,304,28,22,0.518,28.160,266,313,173.884,21.353,1.380,0.725,0.814
77,457541.jpg,534,25.052,103.882,144,305,32,27,0.622,34.713,145,328,41.496,25.342,1.286,0.777,0.858
78,457541.jpg,294,25.303,103.983,402,305,37,20,0.342,37.054,402,312,176.906,20.000,1.789,0.559,0.623
79,457541.jpg,374,26.920,96.569,299,307,24,24,0.504,29.833,300,309,140.440,21.913,1.339,0.747,0.787
80,457541.jpg,359,27.972,96.811,147,334,28,24,0.481,28.862,147,341,165.964,22.808,1.267,0.789,0.765
81,457541.jpg,710,25.262,177.095,281,341,39,32,0.284,42.544,281,362,29.578,29.881,1.402,0.713,0.694
82,457541.jpg,343,30.023,82.083,115,342,28,19,0.640,30.806,117,343,144.246,19.000,1.695,0.590,0.835
83,457541.jpg,102,21.167,64.426,318,351,16,16,0.309,19.416,321,367,55.491,13.117,1.712,0.584,0.564
