 ,Label,Area,Mean,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,457541.jpg,462,38.578,81.255,193,30,25,25,0.879,30.806,196,30,125.754,21.200,1.473,0.679,0.949
2,457541.jpg,797,39.989,116.811,646,31,24,46,0.734,46.098,656,31,93.731,24.000,1.992,0.502,0.931
3,457541.jpg,353,32.365,79.255,601,34,18,31,0.706,31.780,603,64,65.854,14.524,2.301,0.435,0.916
4,457541.jpg,498,28.938,97.054,496,35,27,33,0.664,37.216,497,67,59.300,19.600,1.980,0.505,0.896
5,457541.jpg,546,37.901,96.083,257,36,23,35,0.743,37.696,262,36,111.801,18.835,2.069,0.483,0.929
6,457541.jpg,455,63.404,83.497,131,40,27,24,0.820,27.893,131,49,165.466,23.743,1.135,0.881,0.915
7,457541.jpg,791,39.348,116.953,439,44,33,40,0.727,43.463,448,84,66.975,27.487,1.459,0.685,0.921
8,457541.jpg,549,31.530,102.811,330,55,23,37,0.653,37.483,339,92,80.789,22.883,1.710,0.585,0.861
9,457541.jpg,498,39.705,96.669,613,55,21,37,0.670,38.079,620,55,103.671,19.606,2.170,0.461,0.887
10,457541.jpg,472,54.636,81.598,126,64,25,24,0.891,27.203,127,81,36.027,23.526,1.101,0.908,0.949
11,457541.jpg,958,47.669,130.510,507,68,41,43,0.707,53.814,510,109,48.013,23.207,2.377,0.421,0.940
12,457541.jpg,624,36.506,99.497,105,69,22,38,0.792,38.833,111,107,78.111,22.000,1.835,0.545,0.945
13,457541.jpg,583,40.904,89.497,171,74,27,28,0.915,29.411,178,74,107.819,27.000,1.060,0.943,0.954
14,457541.jpg,1050,47.990,130.267,345,74,46,37,0.778,49.396,345,82,158.629,29.702,1.649,0.606,0.923
15,457541.jpg,356,34.261,79.841,196,84,23,26,0.702,30.480,199,108,48.991,17.779,1.733,0.577,0.887
16,457541.jpg,594,37.140,94.912,554,89,28,30,0.829,35.805,558,118,54.090,23.800,1.549,0.646,0.944
17,457541.jpg,582,38.818,92.326,605,91,25,32,0.858,35.355,608,123,61.260,23.255,1.540,0.650,0.949
18,457541.jpg,572,40.717,95.154,517,101,26,33,0.794,38.013,520,133,54.638,20.923,1.836,0.545,0.942
19,457541.jpg,612,40.618,96.569,242,103,34,25,0.825,36.401,242,124,20.925,23.702,1.543,0.648,0.946
20,457541.jpg,544,43.765,88.770,379,103,24,28,0.868,32.650,379,130,49.970,24.000,1.269,0.788,0.949
21,457541.jpg,583,40.592,92.083,143,106,24,32,0.864,33.242,151,106,105.709,23.401,1.427,0.701,0.949
22,457541.jpg,568,41.229,92.184,351,106,27,27,0.840,31.241,354,110,140.194,26.879,1.088,0.919,0.940
23,457541.jpg,492,47.833,84.669,291,108,21,31,0.862,32.894,295,108,109.537,20.572,1.657,0.603,0.957
24,457541.jpg,718,44.801,109.740,565,116,39,26,0.749,41.629,566,137,24.102,24.597,1.857,0.538,0.920
25,457541.jpg,587,39.969,95.497,119,132,23,35,0.809,37.577,123,133,115.201,21.154,1.826,0.548,0.954
26,457541.jpg,585,42.674,94.326,460,133,31,27,0.826,36.056,460,135,146.310,22.808,1.589,0.629,0.947
27,457541.jpg,671,37.972,102.811,511,133,32,32,0.798,41.037,512,164,43.025,22.588,1.864,0.536,0.948
28,457541.jpg,589,35.486,94.326,627,134,28,30,0.832,36.235,629,163,50.599,23.047,1.580,0.633,0.940
29,457541.jpg,640,34.314,104.083,254,143,37,23,0.742,38.079,254,160,13.671,23.000,1.753,0.570,0.931
30,457541.jpg,867,50.845,116.912,77,159,24,45,0.797,45.706,84,204,79.919,24.000,1.871,0.534,0.961
31,457541.jpg,743,38.384,116.468,360,170,46,26,0.688,48.703,360,176,160.821,20.555,2.487,0.402,0.937
32,457541.jpg,560,40.204,90.326,441,171,30,26,0.863,34.670,441,174,146.768,21.913,1.609,0.622,0.952
33,457541.jpg,315,39.079,73.941,578,174,20,24,0.724,26.926,584,175,121.329,18.740,1.406,0.711,0.892
34,457541.jpg,1056,45.023,126.953,289,176,42,37,0.823,50.000,291,180,143.130,28.284,1.716,0.583,0.960
35,457541.jpg,663,29.445,109.539,163,177,39,27,0.694,42.190,165,201,31.430,22.361,1.997,0.501,0.916
36,457541.jpg,575,39.113,90.669,508,188,30,25,0.879,33.838,510,211,34.160,24.140,1.402,0.713,0.953
37,457541.jpg,552,41.788,90.083,39,192,22,32,0.855,32.558,49,224,79.380,22.000,1.503,0.665,0.945
38,457541.jpg,328,36.793,71.497,373,208,24,22,0.806,25.080,374,212,156.501,18.336,1.438,0.695,0.896
39,457541.jpg,835,59.321,114.953,252,212,36,37,0.794,44.688,255,214,130.462,24.600,1.881,0.532,0.949
40,457541.jpg,573,38.440,99.255,548,222,40,19,0.731,40.311,548,237,7.125,19.000,2.219,0.451,0.932
41,457541.jpg,341,34.551,72.569,395,228,23,25,0.814,25.318,407,228,99.090,19.026,1.296,0.772,0.902
42,457541.jpg,657,33.061,105.598,454,228,19,42,0.740,42.755,457,270,79.216,19.000,2.250,0.444,0.956
43,457541.jpg,498,45.924,81.841,599,238,24,26,0.934,27.203,600,259,36.027,24.000,1.081,0.925,0.953
44,457541.jpg,748,57.778,107.640,74,240,38,29,0.811,42.059,75,264,28.393,23.255,1.809,0.553,0.955
45,457541.jpg,400,57.700,73.255,633,244,22,24,0.937,24.698,642,268,68.629,22.000,1.095,0.913,0.949
46,457541.jpg,780,61.568,109.054,243,245,31,37,0.824,42.438,246,245,124.439,25.456,1.723,0.580,0.955
47,457541.jpg,600,37.968,93.497,415,254,23,34,0.863,34.059,429,254,93.366,23.000,1.431,0.699,0.950
48,457541.jpg,539,40.889,92.669,148,257,21,35,0.789,36.688,154,292,72.553,19.922,1.864,0.536,0.948
49,457541.jpg,891,51.132,112.225,651,261,34,35,0.889,39.825,655,294,51.116,30.400,1.319,0.758,0.957
50,457541.jpg,612,38.605,97.497,467,265,24,35,0.809,38.079,471,300,66.801,22.098,1.769,0.565,0.950
51,457541.jpg,614,41.915,108.953,550,266,40,30,0.650,45.793,551,269,148.392,20.111,2.412,0.415,0.920
52,457541.jpg,610,33.470,98.811,77,283,35,27,0.785,39.962,77,306,31.701,21.009,2.003,0.499,0.944
53,457541.jpg,1109,43.182,134.125,315,283,33,49,0.775,53.310,320,332,66.801,28.174,1.935,0.517,0.953
54,457541.jpg,681,51.849,105.640,526,290,37,29,0.767,43.267,527,291,146.310,21.600,2.089,0.479,0.946
55,457541.jpg,791,47.764,106.225,171,293,34,32,0.881,36.878,174,323,40.601,28.991,1.286,0.778,0.956
56,457541.jpg,950,47.772,121.196,389,316,39,38,0.813,46.400,391,350,37.117,26.870,1.802,0.555,0.945
57,457541.jpg,474,47.515,82.426,245,330,22,28,0.877,30.463,250,330,113.199,22.000,1.386,0.722,0.950
58,457541.jpg,550,40.713,92.811,322,330,27,32,0.802,36.401,325,361,52.815,19.800,1.889,0.529,0.943
59,457541.jpg,318,37.943,71.841,360,333,22,23,0.774,25.239,360,349,33.690,19.036,1.270,0.787,0.915
60,457541.jpg,453,48.642,77.841,191,334,24,24,0.939,27.019,194,356,51.009,22.627,1.161,0.861,0.956
61,457541.jpg,531,41.143,88.083,495,337,32,22,0.860,33.838,495,353,18.970,21.493,1.605,0.623,0.949
62,457541.jpg,639,43.099,100.811,647,339,27,36,0.790,40.817,649,340,120.964,21.019,1.988,0.503,0.951
63,457541.jpg,871,51.365,119.397,54,353,28,44,0.768,45.541,59,353,109.231,24.350,1.922,0.520,0.947
64,457541.jpg,835,46.139,120.024,507,363,39,38,0.728,49.679,507,398,40.101,21.920,2.289,0.437,0.951
65,457541.jpg,322,37.000,74.669,390,366,26,21,0.726,26.249,393,387,49.635,17.058,1.529,0.654,0.886
66,457541.jpg,311,37.701,82.225,139,378,27,27,0.578,36.125,139,378,138.366,12.728,2.929,0.341,0.884
67,457541.jpg,473,45.975,82.083,215,381,29,22,0.882,30.364,215,390,162.759,22.000,1.415,0.707,0.947
68,457541.jpg,576,38.007,91.841,369,389,27,27,0.858,31.401,372,415,52.765,26.563,1.123,0.891,0.942
69,457541.jpg,881,49.238,119.397,420,394,25,47,0.777,47.381,431,441,82.725,24.577,1.945,0.514,0.953
70,457541.jpg,854,50.248,114.912,559,408,43,25,0.813,44.147,559,425,13.092,25.000,1.757,0.569,0.956
71,457541.jpg,839,51.645,113.740,110,418,26,42,0.815,42.953,116,460,77.905,25.675,1.695,0.590,0.953
72,457541.jpg,562,37.827,89.740,225,420,28,28,0.877,30.806,231,421,125.754,24.543,1.249,0.801,0.940
73,457541.jpg,503,37.235,91.012,455,421,19,35,0.763,36.401,460,456,74.055,18.631,2.057,0.486,0.944
