 ,Label,Area,Mean,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,457541.jpg,459,153.771,95.397,155,40,29,27,0.634,31.385,155,49,157.521,22.668,1.395,0.717,0.848
2,457541.jpg,493,177.868,81.497,245,40,25,26,0.933,27.313,245,46,156.251,24.749,1.047,0.955,0.950
3,457541.jpg,700,152.387,99.397,301,50,29,33,0.890,34.205,310,83,74.745,29.000,1.168,0.856,0.943
4,457541.jpg,221,135.122,53.941,426,119,17,17,0.954,18.028,430,119,109.440,16.971,1.025,0.976,0.940
5,457541.jpg,570,139.282,90.912,466,196,30,25,0.867,30.871,467,202,155.095,25.000,1.202,0.832,0.933
6,457541.jpg,495,120.075,109.296,322,286,29,38,0.521,42.059,324,287,118.393,21.019,2.269,0.441,0.773
7,457541.jpg,442,131.715,84.326,342,318,25,28,0.781,28.284,353,318,98.130,24.042,1.073,0.932,0.872
8,457541.jpg,562,145.023,92.569,131,325,30,27,0.824,31.623,131,331,161.565,25.163,1.251,0.799,0.924
9,457541.jpg,1,83.000,2.828,158,346,1,1,1.000,1.414,158,346,135.000,1.000,1.000,1.000,1.000
